City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Isangel,VU,2021-04-25 16:15:25,-19.55,169.2667,77.41,79,100,9.55,light rain
177,Uvinza,TZ,2021-04-25 16:15:25,-5.1036,30.3911,69.48,91,91,2.01,moderate rain
178,Tyukalinsk,RU,2021-04-25 16:15:25,55.8732,72.1967,48.04,42,98,14.85,overcast clouds
179,Abu Zabad,SD,2021-04-25 16:15:25,12.35,29.25,96.84,19,100,4.9,overcast clouds
180,Saint-Joseph,RE,2021-04-25 16:15:26,-21.3667,55.6167,78.8,73,0,25.32,light rain
181,Casablanca,MA,2021-04-25 16:14:38,33.5928,-7.6192,69.8,64,40,18.41,scattered clouds
182,Calama,CL,2021-04-25 16:15:26,-22.4667,-68.9333,66.2,11,0,9.22,clear sky
183,Zhenlai,CN,2021-04-25 16:15:27,45.8495,123.2973,50.54,29,100,10.02,overcast clouds
184,Bahia Blanca,AR,2021-04-25 16:15:27,-38.7196,-62.2724,64.76,48,39,3.44,scattered clouds
185,Teya,RU,2021-04-25 16:12:07,60.3778,92.6267,34.72,97,100,5.23,overcast clouds
186,Brokopondo,SR,2021-04-25 16:14:03,4.75,-55.1667,82.17,73,100,5.39,overcast clouds
187,Paamiut,GL,2021-04-25 16:12:22,61.994,-49.6678,36.91,91,99,6.42,overcast clouds
188,Baymak,RU,2021-04-25 16:15:28,52.5933,58.3225,42.4,73,28,9.46,scattered clouds
189,Praia Da Vitoria,PT,2021-04-25 16:15:28,38.7333,-27.0667,64.99,72,75,18.03,broken clouds
190,Balikpapan,ID,2021-04-25 16:15:28,-1.2675,116.8289,77.22,84,99,1.59,overcast clouds
191,Carnarvon,AU,2021-04-25 16:11:55,-24.8667,113.6333,64.4,88,1,6.91,clear sky
192,Mahebourg,MU,2021-04-25 16:11:44,-20.4081,57.7,77.0,88,75,14.97,light rain
193,Luchegorsk,RU,2021-04-25 16:15:29,46.4764,134.2569,34.05,41,1,4.0,clear sky
194,Honningsvag,NO,2021-04-25 16:15:29,70.9821,25.9704,37.4,60,75,11.5,broken clouds
195,Kodinsk,RU,2021-04-25 16:15:30,58.6881,99.1844,33.62,98,100,6.13,snow
196,Tambovka,RU,2021-04-25 16:13:25,50.0969,128.0489,42.8,39,20,6.71,few clouds
197,Broken Hill,AU,2021-04-25 16:08:52,-31.95,141.4333,57.2,58,0,8.05,clear sky
198,Aklavik,CA,2021-04-25 16:15:30,68.2191,-135.0107,19.4,86,20,8.05,few clouds
199,Kahului,US,2021-04-25 16:10:53,20.8947,-156.47,71.6,94,20,16.11,few clouds
200,Lahaina,US,2021-04-25 16:15:31,20.8783,-156.6825,71.6,94,20,16.11,few clouds
201,San Vicente,AR,2021-04-25 16:15:31,-26.6167,-54.1333,68.65,70,81,3.85,broken clouds
202,Port-Gentil,GA,2021-04-25 16:13:03,-0.7193,8.7815,87.8,70,40,9.22,scattered clouds
203,Easton,US,2021-04-25 16:12:29,40.6884,-75.2207,57.2,67,90,10.36,overcast clouds
204,Dakar,SN,2021-04-25 16:12:14,14.6937,-17.4441,75.2,69,75,13.8,broken clouds
205,Beringovskiy,RU,2021-04-25 16:13:43,63.05,179.3167,29.59,88,99,3.22,overcast clouds
206,Port Blair,IN,2021-04-25 16:15:32,11.6667,92.75,83.23,71,94,3.98,overcast clouds
207,Kavieng,PG,2021-04-25 16:12:25,-2.5744,150.7967,81.75,77,93,4.52,light rain
208,Aykhal,RU,2021-04-25 16:09:47,66.0,111.5,11.07,95,100,27.25,overcast clouds
209,Siirt,TR,2021-04-25 16:15:33,37.9326,41.9403,78.8,27,75,4.61,broken clouds
210,Dir,PK,2021-04-25 16:15:33,35.2058,71.8756,61.99,51,6,5.7,clear sky
211,Pochutla,MX,2021-04-25 16:15:34,15.7432,-96.4661,87.01,66,75,8.05,broken clouds
212,Bundaberg,AU,2021-04-25 16:12:11,-24.85,152.35,63.0,88,0,6.91,clear sky
213,Rocha,UY,2021-04-25 16:12:26,-34.4833,-54.3333,66.99,64,25,15.37,scattered clouds
214,Rastolita,RO,2021-04-25 16:15:34,46.9726,24.9929,50.74,60,80,6.62,broken clouds
215,Tokur,RU,2021-04-25 16:15:34,53.1333,132.9,22.8,79,100,2.19,overcast clouds
216,Ulaanbaatar,MN,2021-04-25 16:15:35,47.9077,106.8832,32.0,86,75,8.95,broken clouds
217,Olinda,BR,2021-04-25 16:15:35,-8.0089,-34.8553,82.4,69,40,11.5,scattered clouds
218,Hasaki,JP,2021-04-25 16:10:17,35.7333,140.8333,51.8,58,75,13.8,broken clouds
219,Bohuslav,UA,2021-04-25 16:15:36,49.5494,30.8744,48.42,74,100,7.81,overcast clouds
220,Great Yarmouth,GB,2021-04-25 16:11:36,52.6083,1.7305,48.2,61,75,12.66,broken clouds
221,Nouadhibou,MR,2021-04-25 16:15:36,20.931,-17.0347,73.4,56,0,23.02,clear sky
222,Rock Springs,US,2021-04-25 16:14:32,41.5875,-109.2029,51.01,43,20,4.61,few clouds
223,Balkanabat,TM,2021-04-25 16:15:37,39.5108,54.3671,81.99,31,6,3.67,clear sky
224,Nuuk,GL,2021-04-25 16:15:37,64.1835,-51.7216,39.2,75,75,3.44,broken clouds
225,Puerto Narino,CO,2021-04-25 16:15:37,-3.7703,-70.3831,78.8,94,75,3.44,moderate rain
